A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,Total Costs,Expected Number of Deaths,Expected Annual Damage,Dike Investment Costs
5,0,0,0,0,0,4,0,0,3,0,0,4,0,0,3,223806138.16444775,0.008146670476697763,101599728.18137857,122206409.98306917
5,0,0,0,0,0,4,0,0,0,0,0,1,0,0,3,470380256.9629378,0.024932693929300795,364967157.14750004,105413099.81543775
5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,825825573.541126,0.05469700218763225,745449687.811862,80375885.72926402
5,0,0,0,0,0,4,0,0,0,0,0,2,0,0,3,317744073.64017725,0.012611109237212289,209789957.943258,107954115.69691926
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1656013383.873668,0.2387229795743595,1602040877.6867104,53972506.18695759
6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,803802333.0039464,0.05282825576937479,716681640.6185452,87120692.38540131
5,0,0,0,0,0,3,0,0,3,0,0,4,0,0,3,274666223.2175358,0.01674038803450456,154665160.32541168,120001062.89212412
5,0,0,0,0,0,4,0,0,1,0,0,2,0,0,3,315478306.7200934,0.014066584191440109,201203390.71350792,114274916.00658551
5,0,0,0,0,0,3,0,0,0,0,0,2,0,0,3,368604158.69326526,0.021204826795019085,262855390.0872911,105748768.60597421
6,0,0,4,0,0,6,0,0,6,0,0,8,0,0,4,208632819.68641928,0.00035382394547038066,2107975.8284319993,206524843.85798728
5,0,0,0,0,0,4,0,0,2,0,0,4,0,0,3,235052219.75988844,0.00870471783488523,113967137.2539055,121085082.50598289
5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,876685658.5942141,0.06329071974543904,798515119.9558951,78170538.63831897
5,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,521240342.01602584,0.033526411487107596,418032589.2915332,103207752.7244927
6,0,0,0,0,0,4,0,0,2,0,0,4,0,0,3,213028979.2227089,0.006835971416627775,85199090.06058875,127829889.16212018
4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1039916936.1628257,0.06775774450269281,965665608.659065,74251327.50376067
5,0,0,0,0,0,4,0,0,1,0,0,3,0,0,3,273532985.1150466,0.010466921124565641,156484773.03373635,117048212.08131024
4,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,696504376.4615387,0.04031170552817875,599421181.9625492,97083194.49898934
4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1051949693.0397269,0.0700760137865102,979903712.6269112,72045980.41281562
4,0,0,0,0,0,4,0,0,0,0,0,2,0,0,3,531835436.26187694,0.025671851552272855,430005878.79046106,101829557.4714159
4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1606405596.4810812,0.1646775395427586,1538258360.8923063,68147235.58877492
6,0,0,1,0,0,5,0,0,3,0,0,5,0,0,3,208953696.84776026,0.002778290419762033,36062781.385389864,172890915.4623704
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1869916284.8304448,0.2515145191936828,1822068336.8689907,47847947.961454235
5,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,493289194.121558,0.041546721355148065,389570639.7681414,103718554.35341659
4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1176701440.5732317,0.09036810898345359,1106685674.4129739,70015766.160258
4,0,0,0,0,0,3,0,0,0,0,0,2,0,0,4,543868193.138778,0.02799012083609024,444243982.75830716,99624210.38047086
5,0,0,1,0,0,5,0,0,3,0,0,5,0,0,3,230976937.38493973,0.004647036838019487,64830828.57870662,166146108.80623314
6,0,0,1,0,0,5,0,0,4,0,0,5,0,0,4,199531269.8200128,0.0022593312429938905,25398566.692085415,174132703.12792742
4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,668619940.6722832,0.04828221603303363,571025944.5443699,97593996.12791324
5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1001370694.0225067,0.08363261430556802,925230369.6367453,76140324.38576135
5,0,0,1,0,0,5,0,0,4,0,0,5,0,0,3,221554510.35719234,0.0041280776612513444,54166613.88540217,167387896.47179013
5,0,0,1,0,0,5,0,0,2,0,0,5,0,0,3,237096186.53781104,0.004976574347572938,72071405.20866416,165024781.32914686
6,0,0,1,0,0,5,0,0,2,0,0,5,0,0,3,215072946.00063157,0.003107827929315485,43303358.015347406,171769587.98528415
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4095443839.9579005,0.23959928534085723,4075144552.3305798,20299287.62732069
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4087471769.3688197,0.24145088897877043,4087471769.3688197,0.0
